,is_ambig,is_correct,is_human,is_context_true_first,percent_certainty_of_correct
0,False,False,True,False,0.48828339529583464
1,False,True,True,True,0.5660185351961015
2,False,False,True,True,0.4726834766204329
3,False,True,True,True,0.5467381519846138
4,False,True,False,True,0.523420348936324
5,False,True,True,True,0.5
6,False,False,True,False,0.4649015713733885
7,False,False,True,False,0.3923368301671084
8,False,False,True,False,0.46879062662624377
9,False,True,True,True,0.5813030906443133
10,False,True,True,True,0.5389832206876841
11,False,False,True,False,0.48438008427698437
12,False,True,False,False,0.5660185351961015
13,False,True,True,False,0.5156199157230157
14,False,True,False,False,0.6039318337259584
15,False,True,True,True,0.5117166047041652
16,False,True,False,False,0.5736784074525096
17,False,True,False,False,0.5312093733737562
18,False,False,False,True,0.4455295350395727
19,False,False,False,False,0.48438008427698437
20,False,False,True,False,0.399811640739795
21,False,True,False,False,0.5964331462646255
22,False,True,False,False,0.5736784074525096
23,False,True,True,True,0.6076631698328916
24,False,True,True,True,0.5350984286266116
25,False,False,True,False,0.4416730056646256
26,False,False,False,True,0.4378234991142019
27,False,True,True,True,0.5234203489363239
28,False,False,True,False,0.3738758367247085
29,False,True,False,False,0.6150878555160665
30,False,False,False,False,0.49218813572079556
31,False,True,True,True,0.5736784074525096
32,False,True,True,True,0.5774953651858118
33,False,False,True,False,0.42250463481418826
34,False,False,True,False,0.49609382947091946
35,False,False,True,False,0.399811640739795
36,False,True,False,False,0.5389832206876841
37,False,False,True,False,0.480478678047907
38,False,False,False,True,0.5
39,False,False,False,True,0.399811640739795
40,False,True,True,True,0.5428632831725052
41,False,False,False,True,0.4225046348141883
42,False,True,True,True,0.5078118642792044
43,False,True,True,False,0.5851011542032312
44,False,False,True,False,0.4263215925474903
45,False,True,False,False,0.5774953651858117
46,False,False,True,False,0.42250463481418826
47,False,True,True,True,0.5117166047041654
48,False,True,False,False,0.6513548646660542
49,False,False,False,True,0.44939263446475963
50,False,True,False,False,0.5851011542032312
51,False,True,False,False,0.5813030906443133
52,False,True,True,False,0.5156199157230156
53,False,False,False,True,0.48828339529583464
54,False,False,True,True,0.48047867804790706
55,False,True,True,False,0.5467381519846138
56,False,True,True,True,0.5506073655352404
57,False,True,True,False,0.5428632831725052
58,False,False,False,True,0.39233683016710835
59,False,False,True,True,0.480478678047907
60,False,True,True,False,0.588889130767832
61,False,True,False,False,0.5774953651858118
62,False,False,True,True,0.49218813572079556
63,False,False,False,True,0.46490157137338844
64,False,False,True,False,0.47268347662043286
65,False,False,False,True,0.45326184801538616
66,False,True,False,False,0.588889130767832
67,False,False,True,False,0.47657965106367595
68,False,True,False,False,0.5698526514141572
69,False,True,True,True,0.5660185351961015
70,False,True,True,True,0.519521321952093
71,False,False,True,False,0.4301473485858429
72,False,True,False,False,0.5660185351961015
73,False,True,False,False,0.5039061705290805
74,False,True,False,False,0.5273165233795672
75,False,True,False,False,0.5964331462646254
76,False,True,False,True,0.5156199157230156
77,False,False,True,False,0.4263215925474903
78,False,True,False,False,0.5428632831725052
79,False,False,True,False,0.3960681662740417
80,False,True,False,True,0.523420348936324
81,False,True,True,True,0.6297746074044134
82,False,False,True,False,0.48438008427698437
83,False,False,True,False,0.4263215925474903
84,False,False,True,False,0.46490157137338844
85,False,True,False,False,0.6334102775181399
86,False,True,True,True,0.5350984286266115
87,False,True,True,True,0.5926665999540697
88,False,True,False,False,0.5350984286266115
89,False,False,True,False,0.37022540649291935
90,False,True,False,False,0.5964331462646254
91,False,True,False,False,0.5117166047041654
92,False,False,True,False,0.48828339529583464
93,False,False,True,False,0.41489884579676883
94,False,False,True,False,0.46879062662624377
95,False,True,True,True,0.5389832206876841
96,False,False,False,True,0.4225046348141882
97,False,True,True,True,0.6187804337438502
98,False,True,False,True,0.5078118642792044
99,False,True,True,True,0.5698526514141571
100,False,False,True,False,0.46879062662624377
101,False,True,True,True,0.5583269943353745
102,False,False,False,True,0.3849121444839335
103,False,False,False,True,0.4225046348141882
104,False,False,True,True,0.4843800842769844
105,False,True,True,True,0.5312093733737563
106,False,True,False,False,0.5698526514141571
107,False,False,True,False,0.46101677931231594
108,False,True,True,True,0.5544704649604273
109,False,True,False,False,0.5698526514141572
110,False,True,False,False,0.5544704649604273
111,False,True,False,False,0.5813030906443133
112,False,True,True,False,0.5312093733737562
113,False,False,True,False,0.39233683016710835
114,False,False,True,False,0.4571367168274948
115,False,False,True,False,0.40356685373537454
116,False,False,False,True,0.4960938294709195
117,False,False,False,True,0.4649015713733885
118,False,True,False,False,0.6442251201477016
119,False,False,True,False,0.4416730056646256
120,False,True,True,True,0.5544704649604273
121,False,False,False,True,0.44167300566462553
122,False,True,True,True,0.546738151984614
123,False,False,False,True,0.40733340004593027
124,False,True,True,True,0.588889130767832
125,False,True,True,True,0.672331699179286
126,False,True,False,False,0.6370308082623217
127,False,False,True,True,0.47657965106367595
128,False,False,False,True,0.47268347662043286
129,False,True,True,True,0.5039061705290805
130,False,False,True,True,0.48828339529583464
131,False,True,True,True,0.5273165233795671
132,False,False,False,True,0.4649015713733885
133,False,False,False,True,0.41869690935568665
134,False,False,True,False,0.3849121444839335
135,False,False,False,True,0.41489884579676883
136,False,True,True,True,0.5544704649604273
137,False,True,True,True,0.5312093733737563
138,False,False,True,False,0.45326184801538616
139,False,True,True,False,0.5506073655352404
140,False,False,False,True,0.4571367168274948
141,False,False,True,False,0.4571367168274948
142,False,False,True,False,0.47657965106367595
143,False,False,False,True,0.4726834766204328
144,False,True,True,True,0.5544704649604273
145,False,False,True,False,0.45326184801538616
146,False,False,True,False,0.45326184801538616
147,False,True,False,False,0.5736784074525096
148,False,False,False,True,0.41489884579676883
149,False,True,True,True,0.5698526514141571
150,False,False,True,False,0.4301473485858429
151,False,True,False,False,0.5964331462646254
152,False,True,True,True,0.5428632831725052
153,False,False,True,False,0.399811640739795
154,False,False,False,True,0.48828339529583464
155,False,False,True,False,0.4571367168274948
156,False,False,True,True,0.49609382947091946
157,False,True,False,False,0.6039318337259583
158,False,True,True,True,0.5813030906443133
159,False,True,True,True,0.6548947155710233
160,False,False,False,True,0.41489884579676883
161,False,True,False,False,0.5774953651858118
162,False,False,True,False,0.46490157137338844
163,False,True,True,True,0.5039061705290805
