,token,normedProbCorrect,ifCorrect,numResponsesBefore,ifMatch,ifContextHumanFirst
1_45, TRUE,0.6588506096276923,True,2,True,True
1_61, TRUE,0.6309452069867825,True,3,True,True
1_77, FALSE,0.5528179350220632,True,4,True,True
1_93, FALSE,0.5541717404671616,True,5,True,True
1_109, TRUE,0.62107511266468,True,6,True,True
1_126, TRUE,0.5450445122160684,True,7,True,True
1_142, FALSE,0.7074134066294943,True,8,True,True
1_158, FALSE,0.5699442873590316,True,9,True,True
2_45, TRUE,0.6585032894653109,True,2,True,True
2_61, TRUE,0.44254142987359923,False,3,True,True
2_77, FALSE,0.5263332794435917,True,4,True,True
2_93, TRUE,0.7182780037150585,True,5,True,True
2_109, TRUE,0.5429825775039906,True,6,True,True
2_125, TRUE,0.6535225903442528,True,7,True,True
2_141, TRUE,0.3553142865575287,False,8,True,True
2_157, TRUE,0.7035581951563328,True,9,True,True
3_46, TRUE,0.5460810450234281,True,2,True,True
3_62, TRUE,0.5622046584245483,True,3,True,True
3_78, FALSE,0.6388124146268854,True,4,True,True
3_95, FALSE,0.5086775611146077,True,5,True,True
3_112, FALSE,0.36927862583832033,False,6,True,True
3_128, TRUE,0.5539841854013258,True,7,True,True
3_144, FALSE,0.721105373898378,True,8,True,True
3_160, TRUE,0.7381341126139587,True,9,True,True
4_48, TRUE,0.529719543354271,True,2,True,False
4_66, FALSE,0.5871684340542279,True,3,True,False
4_84, FALSE,0.5254620382814775,True,4,True,False
4_100, TRUE,0.5148967574312313,True,5,True,False
4_117, TRUE,0.5477589143847656,True,6,True,False
4_133, TRUE,0.5209333063952458,True,7,True,False
4_150, FALSE,0.6500317564225931,True,8,True,False
4_168, FALSE,0.654028611606529,True,9,True,False
5_46, TRUE,0.4598122401447212,False,2,True,False
5_62, TRUE,0.5305975546210372,True,3,True,False
5_78, FALSE,0.5787067535188486,True,4,True,False
5_94, FALSE,0.6087393934799226,True,5,True,False
5_111, FALSE,0.6549628445591671,True,6,True,False
5_128, TRUE,0.490525441751144,False,7,True,False
5_144, TRUE,0.52725946882652,True,8,True,False
5_160, FALSE,0.6608558344990539,True,9,True,False
6_47, TRUE,0.5503081441497243,True,2,True,False
6_63, TRUE,0.5923589698397296,True,3,True,False
6_81, FALSE,0.5352939151486372,True,4,True,False
6_97, FALSE,0.5242634124571824,True,5,True,False
6_114, FALSE,0.5612833825703779,True,6,True,False
6_131, TRUE,0.5430299097232686,True,7,True,False
6_147, FALSE,0.642816197576381,True,8,True,False
6_163, FALSE,0.6262456165679795,True,9,True,False
7_46, TRUE,0.5227047497609488,True,2,True,True
7_62, TRUE,0.5144631890197525,True,3,True,True
7_80, FALSE,0.5455685141140197,True,4,True,True
7_96, TRUE,0.6521618132653352,True,5,True,True
7_113, TRUE,0.39375011747248717,False,6,True,True
7_129, TRUE,0.5773213069971702,True,7,True,True
7_145, FALSE,0.6542737081700556,True,8,True,True
7_161, FALSE,0.565737389509507,True,9,True,True
8_47, TRUE,0.4916475270638252,False,2,True,False
8_63, FALSE,0.5249331349932926,True,3,True,False
8_80, TRUE,0.6047791912346431,True,4,True,False
8_96, FALSE,0.7017777511390607,True,5,True,False
8_112, FALSE,0.5416692896571217,True,6,True,False
8_129, TRUE,0.7617767273981895,True,7,True,False
8_145, FALSE,0.7509090035343796,True,8,True,False
8_161, FALSE,0.6946434071300317,True,9,True,False
9_46, TRUE,0.5462040063239352,True,2,True,True
9_62, TRUE,0.5673935913810405,True,3,True,True
9_80, FALSE,0.6758640631882403,True,4,True,True
9_96, FALSE,0.5208285993297463,True,5,True,True
9_113, TRUE,0.6910186576471393,True,6,True,True
9_129, TRUE,0.6773873307041985,True,7,True,True
9_145, TRUE,0.43633398336740503,False,8,True,True
9_161, FALSE,0.8163039929143129,True,9,True,True
10_45, TRUE,0.4996118675779612,False,2,True,False
10_61, TRUE,0.5868087023058207,True,3,True,False
10_79, FALSE,0.5317498598782537,True,4,True,False
10_95, TRUE,0.5907340362430791,True,5,True,False
10_112, TRUE,0.6744995534358286,True,6,True,False
10_129, TRUE,0.6177846828856519,True,7,True,False
10_145, FALSE,0.554945350786627,True,8,True,False
10_161, TRUE,0.7846524725943673,True,9,True,False
11_47, TRUE,0.6259759472672722,True,2,True,True
11_63, TRUE,0.5666387500801983,True,3,True,True
11_81, FALSE,0.6820056441574409,True,4,True,True
11_97, FALSE,0.6635744323632795,True,5,True,True
11_114, FALSE,0.591544417895048,True,6,True,True
11_131, TRUE,0.5420301189842743,True,7,True,True
11_147, TRUE,0.566146893214944,True,8,True,True
11_163, FALSE,0.8582885560373646,True,9,True,True
12_48, TRUE,0.4489764134430379,False,2,True,False
12_64, FALSE,0.4785573599157535,False,3,True,False
12_82, FALSE,0.556662267848944,True,4,True,False
12_98, FALSE,0.6215265302031148,True,5,True,False
12_114, TRUE,0.5304997261712829,True,6,True,False
12_130, TRUE,0.3055232932526611,False,7,True,False
12_146, TRUE,0.510036091851848,True,8,True,False
12_164, FALSE,0.7237421232433298,True,9,True,False
13_45, TRUE,0.5680573605183827,True,2,True,False
13_61, FALSE,0.48762385095377975,False,3,True,False
13_79, FALSE,0.4942238469742369,False,4,True,False
13_95, FALSE,0.58120002368352,True,5,True,False
13_112, TRUE,0.567700716984017,True,6,True,False
13_128, TRUE,0.6394881215167911,True,7,True,False
13_144, FALSE,0.738248359246311,True,8,True,False
13_160, TRUE,0.5077518038311097,True,9,True,False
14_46, TRUE,0.4496937514642404,False,2,True,False
14_62, TRUE,0.5688780325711836,True,3,True,False
14_79, TRUE,0.5396599093904018,True,4,True,False
14_96, FALSE,0.5408973782542127,True,5,True,False
14_112, TRUE,0.6876717718146701,True,6,True,False
14_128, TRUE,0.6778473557724524,True,7,True,False
14_144, TRUE,0.6110266255273945,True,8,True,False
14_162, FALSE,0.6329007803569171,True,9,True,False
15_45, TRUE,0.7083670643471488,True,2,True,True
15_61, FALSE,0.45622993426171216,False,3,True,True
15_79, FALSE,0.5250682488424655,True,4,True,True
15_95, TRUE,0.5795974825986775,True,5,True,True
15_111, TRUE,0.42322524164707376,False,6,True,True
15_127, TRUE,0.6388238126657322,True,7,True,True
15_143, FALSE,0.7523958127120689,True,8,True,True
15_159, TRUE,0.6799337671188275,True,9,True,True
16_46, TRUE,0.4067579508166364,False,2,True,False
16_62, TRUE,0.5619840146838379,True,3,True,False
16_80, FALSE,0.6172603162199465,True,4,True,False
16_96, TRUE,0.552651000342688,True,5,True,False
16_113, FALSE,0.6277453108556885,True,6,True,False
