,token,normedProbCorrect,ifCorrect,numResponsesBefore,ifMatch,ifContextHumanFirst
1_46, TRUE,0.4437275263671951,False,2,True,False
1_63, TRUE,0.5539954697777746,True,3,True,False
1_81, FALSE,0.5725612956804774,True,4,False,False
1_97, TRUE,0.5296853544322805,True,5,True,False
1_113, TRUE,0.5792544380656768,True,6,True,False
1_129, TRUE,0.5269941919697251,True,7,True,False
1_145, TRUE,0.505299376554,True,8,True,False
1_161, TRUE,0.5863230106272829,True,9,True,False
2_45, TRUE,0.5150549329026827,True,2,True,False
2_62, FALSE,0.5153512237094398,True,3,True,False
2_78, TRUE,0.6311823830389013,True,4,True,False
2_94, FALSE,0.5979105681469591,True,5,True,False
2_111, FALSE,0.5325998727245921,True,6,True,False
2_127, TRUE,0.7507583834508453,True,7,True,False
2_143, TRUE,0.5504497493070877,True,8,True,False
2_159, FALSE,0.3226526753803001,False,9,True,False
3_45, FALSE,0.40232703146381044,False,2,True,True
3_61, FALSE,0.5558308245723087,True,3,True,True
3_77, TRUE,0.461357091210033,False,4,True,True
3_93, TRUE,0.5628476927461477,True,5,True,True
3_109, FALSE,0.7069489125306686,True,6,False,True
3_125, FALSE,0.716490667385427,True,7,True,True
3_141, TRUE,0.7751343924568892,True,8,True,True
3_157, TRUE,0.5625886315519945,True,9,True,True
4_45, FALSE,0.5065704217634603,True,2,True,False
4_62, FALSE,0.5433166557548975,True,3,True,False
4_78, FALSE,0.5207152702622501,True,4,True,False
4_94, TRUE,0.6340389126639115,True,5,True,False
4_110, TRUE,0.3600433266862837,False,6,True,False
4_126, FALSE,0.7033927291772174,True,7,True,False
4_142, TRUE,0.6711599959528215,True,8,True,False
4_159, FALSE,0.3260383714681176,False,9,True,False
5_45, FALSE,0.4570874693510205,False,2,False,True
5_61, TRUE,0.5336822610274349,True,3,True,True
5_77, TRUE,0.3323264827364318,False,4,True,True
5_95, FALSE,0.6070763863764628,True,5,True,True
5_112, FALSE,0.5863035702435117,True,6,False,True
5_132, FALSE,0.6942937694680046,True,7,True,True
5_148, FALSE,0.6895000158726516,True,8,False,True
5_164, TRUE,0.6537514967247072,True,9,True,True
6_46, TRUE,0.48081863554914717,False,2,False,False
6_62, TRUE,0.6485672433482154,True,3,True,False
6_78, TRUE,0.6979492093613238,True,4,True,False
6_94, TRUE,0.7171287550723413,True,5,True,False
6_110, TRUE,0.6535770494725175,True,6,True,False
6_126, FALSE,0.45457051750207017,False,7,False,False
6_142, TRUE,0.615330779830977,True,8,False,False
6_158, TRUE,0.4715967863988255,False,9,True,False
7_47, TRUE,0.4282950131206047,False,2,False,False
7_63, FALSE,0.6820255355036503,True,3,True,False
7_79, TRUE,0.5317707626964271,True,4,False,False
7_95, FALSE,0.6188056218876055,True,5,True,False
7_111, TRUE,0.6775406829523043,True,6,True,False
7_128, FALSE,0.706680134004772,True,7,True,False
7_144, TRUE,0.8181733793355129,True,8,True,False
7_160, FALSE,0.36280870609175675,False,9,True,False
8_48, FALSE,0.6157821313198986,True,2,True,False
8_66, FALSE,0.47782921521192684,False,3,True,False
8_82, TRUE,0.646331157956936,True,4,True,False
8_98, FALSE,0.7932054484904447,True,5,True,False
8_114, FALSE,0.6500074464010236,True,6,True,False
8_131, FALSE,0.660891736221787,True,7,True,False
8_147, TRUE,0.7078364549685523,True,8,True,False
8_163, FALSE,0.8057724949642431,True,9,False,False
9_49, FALSE,0.4653087185915704,False,2,True,True
9_66, FALSE,0.5738724758033292,True,3,True,True
9_83, TRUE,0.47555964326459976,False,4,True,True
9_99, FALSE,0.6873874107374123,True,5,True,True
9_115, FALSE,0.6938053213565082,True,6,True,True
9_131, TRUE,0.43861515993461636,False,7,True,True
9_149, FALSE,0.7280267903619642,True,8,False,True
9_165, FALSE,0.4264148625055695,False,9,True,True
10_45, TRUE,0.3743912036479276,False,2,True,False
10_61, TRUE,0.4302894924258946,False,3,False,False
10_77, TRUE,0.7328085151043456,True,4,True,False
10_93, FALSE,0.4864591967930034,False,5,True,False
10_109, TRUE,0.7014271481995845,True,6,True,False
10_125, TRUE,0.6107700266991575,True,7,True,False
10_142, TRUE,0.47363820745123,False,8,False,False
10_158, TRUE,0.7423429316282135,True,9,True,False
11_45, FALSE,0.3813464130574181,False,2,True,True
11_62, FALSE,0.5296150151557305,True,3,True,True
11_78, FALSE,0.6208515249562879,True,4,True,True
11_94, FALSE,0.6010667899007643,True,5,True,True
11_112, FALSE,0.7912123346965864,True,6,True,True
11_129, FALSE,0.7295197779697509,True,7,True,True
11_146, FALSE,0.8465469517329737,True,8,True,True
11_162, FALSE,0.9051269257015832,True,9,True,True
12_45, TRUE,0.6918512276296986,True,2,True,True
12_61, TRUE,0.5431330482892994,True,3,True,True
12_80, FALSE,0.6270809646868789,True,4,True,True
12_96, TRUE,0.6497522556501397,True,5,True,True
12_112, FALSE,0.7775157398805527,True,6,True,True
12_128, TRUE,0.8398581549010044,True,7,True,True
12_144, TRUE,0.3623748957925291,False,8,True,True
12_160, FALSE,0.2161950689206952,False,9,False,True
13_46, TRUE,0.3935270403750173,False,2,False,False
13_62, FALSE,0.5366600643942888,True,3,True,False
13_78, TRUE,0.5271520552812823,True,4,False,False
13_94, TRUE,0.6065767519637647,True,5,True,False
13_110, TRUE,0.4066557955763325,False,6,True,False
13_127, FALSE,0.67049872992241,True,7,False,False
13_145, FALSE,0.6105487129238095,True,8,True,False
13_163, TRUE,0.48514807036170177,False,9,True,False
14_48, FALSE,0.48291774087750206,False,2,True,True
14_64, TRUE,0.47620472876876446,False,3,True,True
14_80, FALSE,0.6641158816068545,True,4,True,True
14_96, TRUE,0.6383501779991626,True,5,True,True
14_112, TRUE,0.21334519049305858,False,6,False,True
14_128, TRUE,0.49592219041425256,False,7,False,True
14_148, FALSE,0.6218459756379654,True,8,True,True
14_164, TRUE,0.7636304576122859,True,9,True,True
15_46, TRUE,0.6604401754391745,True,2,False,True
15_64, FALSE,0.5366392070615554,True,3,True,True
15_80, TRUE,0.6098264337369405,True,4,False,True
15_96, FALSE,0.6133243103549618,True,5,True,True
15_112, TRUE,0.7088286637436362,True,6,True,True
15_128, FALSE,0.7169089017503822,True,7,True,True
15_144, FALSE,0.3062489744948687,False,8,True,True
15_162, FALSE,0.5396230028442945,True,9,True,True
16_46, FALSE,0.5965791467329143,True,2,False,False
16_65, FALSE,0.48840446196505777,False,3,True,False
16_81, FALSE,0.5618759976251917,True,4,True,False
16_97, TRUE,0.35581950837442805,False,5,True,False
16_113, FALSE,0.6192284314648085,True,6,False,False
16_129, TRUE,0.6036589863273343,True,7,True,False
16_146, TRUE,0.3026454105602102,False,8,True,False
16_162, FALSE,0.440198511104259,False,9,True,False
17_48, FALSE,0.5718861651243361,True,2,True,False
17_64, TRUE,0.4784736223097349,False,3,False,False
17_81, FALSE,0.6781038021302728,True,4,False,False
17_98, TRUE,0.5796727486314351,True,5,True,False
17_114, TRUE,0.475432160191746,False,6,False,False
17_130, TRUE,0.28067411891166105,False,7,True,False
17_146, TRUE,0.5184147422315002,True,8,True,False
17_163, FALSE,0.4070875442313581,False,9,True,False
18_45, FALSE,0.4412346740331756,False,2,True,True
18_61, TRUE,0.6293449241466604,True,3,True,True
18_77, FALSE,0.7300132754364423,True,4,True,True
18_93, FALSE,0.7308597831092709,True,5,True,True
18_109, FALSE,0.6780164122541674,True,6,True,True
18_126, FALSE,0.7724065926651252,True,7,True,True
18_142, TRUE,0.6679172491637672,True,8,True,True
18_158, TRUE,0.5016689388018387,True,9,True,True
19_46, TRUE,0.4717574442282377,False,2,False,False
19_63, FALSE,0.5407485991819926,True,3,True,False
19_79, TRUE,0.6146172168269532,True,4,False,False
19_96, TRUE,0.3332293904522737,False,5,True,False
19_113, TRUE,0.5198793477686227,True,6,True,False
19_131, FALSE,0.7253872904862766,True,7,True,False
19_147, FALSE,0.7695825356052647,True,8,True,False
19_163, TRUE,0.8277384269728508,True,9,True,False
20_46, TRUE,0.5534675624897933,True,2,True,True
20_62, FALSE,0.6765456425917122,True,3,True,True
20_78, TRUE,0.5181023269027256,True,4,True,True
20_94, TRUE,0.2923955504651233,False,5,True,True
20_110, TRUE,0.4088814569561168,False,6,True,True
20_126, FALSE,0.771208048906102,True,7,True,True
20_142, TRUE,0.5108167720726575,True,8,False,True
20_159, TRUE,0.607734077444096,True,9,True,True
21_47, TRUE,0.5200983397085114,True,2,True,False
21_65, FALSE,0.627072061957999,True,3,False,False
21_81, TRUE,0.5971748368286257,True,4,True,False
21_97, FALSE,0.6214565557708766,True,5,False,False
21_113, TRUE,0.657074408998302,True,6,True,False
21_130, TRUE,0.50389284633957,True,7,True,False
21_146, FALSE,0.719685426586333,True,8,True,False
21_162, TRUE,0.454447573690143,False,9,True,False
22_46, TRUE,0.5734395809017783,True,2,True,True
22_62, FALSE,0.5821347407538046,True,3,True,True
22_78, FALSE,0.4937165808018996,False,4,False,True
22_97, FALSE,0.4826310240903913,False,5,True,True
22_113, TRUE,0.5600515174498452,True,6,False,True
22_129, FALSE,0.6956418263723988,True,7,True,True
22_147, FALSE,0.6293493655944391,True,8,True,True
22_165, FALSE,0.6337210843970633,True,9,True,True
23_45, TRUE,0.594617481719538,True,2,True,True
23_61, FALSE,0.5932936007530536,True,3,True,True
23_77, FALSE,0.3891039600295625,False,4,False,True
23_93, TRUE,0.6334385848584988,True,5,True,True
23_109, TRUE,0.4466945579448905,False,6,True,True
23_125, TRUE,0.46197805980682793,False,7,True,True
23_141, TRUE,0.4678103754026208,False,8,True,True
23_158, FALSE,0.7276565477617375,True,9,True,True
24_48, FALSE,0.6517965186864076,True,2,True,True
24_64, TRUE,0.564450195338892,True,3,True,True
24_80, TRUE,0.38375677450644297,False,4,False,True
24_96, FALSE,0.7146630397533366,True,5,False,True
24_112, FALSE,0.6260599001723781,True,6,True,True
24_129, TRUE,0.5154665390858211,True,7,True,True
24_145, FALSE,0.774731860627937,True,8,True,True
24_161, TRUE,0.49683574224397076,False,9,False,True
25_47, TRUE,0.5318011568633301,True,2,False,False
25_63, TRUE,0.5857057111255594,True,3,False,False
25_79, TRUE,0.6788444654303735,True,4,True,False
25_95, FALSE,0.5934850696628318,True,5,True,False
25_111, TRUE,0.6446595261791629,True,6,True,False
25_128, FALSE,0.5163097191395585,True,7,True,False
25_144, TRUE,0.724181997184408,True,8,True,False
25_160, FALSE,0.7746053346176486,True,9,True,False
26_47, TRUE,0.4905854778227143,False,2,False,True
26_65, FALSE,0.5884818114868453,True,3,True,True
26_81, TRUE,0.4582984858928102,False,4,False,True
26_97, TRUE,0.24306575014379572,False,5,True,True
26_113, TRUE,0.557387001695408,True,6,True,True
26_130, TRUE,0.4274340641529918,False,7,True,True
26_146, FALSE,0.6464140118467157,True,8,True,True
26_165, FALSE,0.6517592807900507,True,9,True,True
27_45, TRUE,0.6467801020060827,True,2,True,True
27_61, TRUE,0.46731373209236554,False,3,True,True
27_78, FALSE,0.5664954508513834,True,4,True,True
27_95, FALSE,0.4427626163375556,False,5,True,True
27_113, FALSE,0.5211712987291315,True,6,True,True
27_129, TRUE,0.5502769554225263,True,7,True,True
27_145, FALSE,0.7583155972466245,True,8,True,True
27_161, FALSE,0.750927509274803,True,9,True,True
28_46, TRUE,0.5330062560001892,True,2,True,True
28_62, TRUE,0.48210718129262575,False,3,False,True
28_78, TRUE,0.40097749615872696,False,4,False,True
28_94, TRUE,0.5684953630232586,True,5,True,True
28_111, TRUE,0.5969756876932866,True,6,True,True
28_127, FALSE,0.40537611848456057,False,7,True,True
28_144, FALSE,0.393298512357589,False,8,True,True
28_160, TRUE,0.5686927910355046,True,9,False,True
29_47, FALSE,0.5722970519103175,True,2,True,False
29_63, FALSE,0.4843572341315466,False,3,True,False
29_79, FALSE,0.4138527994001759,False,4,False,False
29_95, TRUE,0.5256874644544357,True,5,True,False
29_112, FALSE,0.812256099325819,True,6,True,False
29_128, TRUE,0.6308510430917995,True,7,True,False
29_144, FALSE,0.8547212969811968,True,8,True,False
29_161, TRUE,0.6197994402654018,True,9,True,False
30_46, FALSE,0.5537023099942406,True,2,True,True
30_62, TRUE,0.35906386706413806,False,3,True,True
30_78, FALSE,0.6656092706322803,True,4,True,True
30_94, FALSE,0.6151763459121262,True,5,True,True
30_110, FALSE,0.6271791088140197,True,6,True,True
30_126, TRUE,0.4930758026872549,False,7,True,True
30_143, TRUE,0.26948105384126536,False,8,True,True
